price,car name,variant,mileage,first registration,horse power
"€ 2,599.-",BMW 320,3er touring guter Zustand Tüv Neu,135000,10/1995,150
"€ 2,600.-",Opel Corsa,1.3 CDTi,201000,05/2012,95
"€ 2,600.-",Volkswagen Polo,"Trendline TÜV Neu 59 kW (80 PS), Schaltgetriebe...",197000,01/2008,80
"€ 2,640.-",Ford Fiesta,1.3 Ambiente (Klima+8-fach bereift),115780,03/2006,60
"€ 2,690.-",Ford C-Max,2.0 FUN * AUTOMATIC * AHK * NAVI * SITZHEIZUNG *,128600,12/2005,145
"€ 2,690.-",Nissan X-Trail,2.2 dCi All-Mode 4WD,299950,05/2005,136
"€ 2,699.-",SEAT Ibiza,SC 1.2 Stylance/Style- TÜV bis 04.2022,169000,03/2009,69
"€ 2,750.-",Peugeot 207,1.4i Benzine - Radio,157128,06/2007,73
"€ 2,750.-",Peugeot 207,"1.6 HDi 99g FAP CLIM, VE, RADIO CD",201961,03/2011,90
"€ 2,790.-",Chrysler PT Cruiser,CRD 2.2 Touring PDC LM Tempo Klima,188218,08/2005,150
"€ 2,790.-",Citroen C2,"1.4 HDi VTR RADIO CD, MP3",184711,06/2008,68
"€ 2,799.-",Skoda Roomster,1.2 TSI *Klima* Gern Finanzierung,180000,12/2010,86
"€ 2,799.-",Mercedes-Benz E 320,CDI T Motorschaden ELEGANCE Luft,405000,09/2006,224
"€ 2,800.-",Hyundai Getz,1.1/Klima/EFH/5 trg./1.Hand/,69900,03/2011,67
"€ 2,890.-",Volkswagen Passat Variant,V6 FSI Highline 4Motion 3.2,327000,02/2006,250
"€ 2,900.-",Opel Omega,B 2.6 Executive | Leder | Navi | Xenon,177500,05/2003,179
"€ 2,900.-",Peugeot 207,CC 120 VTi Filou,145000,02/2008,120
"€ 2,900.-",Peugeot Partner,"1,6 Klima MAL Spieg. beheizbar Seitenairb. NSW met",229000,05/2008,90
"€ 2,900.-",Toyota Aygo,"AYGO City 1,0 *NUR 50 TKM*TÜV NEU",50000,09/2005,68
"€ 2,950.-",Audi A3,1.6i 75KW 3 DEURS/AIRCO/DISTRIBUTIE/APK 03/2022,175142,07/2003,102
"€ 2,980.-",Ford Mondeo,GLX Lim. (GD),112465,06/1999,116
"€ 2,980.-",Opel Astra,G Selection Klima Automatik TÜV neu Garantie,116305,08/2001,84
"€ 2,980.-",Peugeot 206,"Cabriolet CC Platinum 1.6 16V 80 kW (109 PS), S...",142087,06/2007,109
"€ 2,985.-",Mitsubishi Colt,1.1 TÜV NEU 8fach bereift,116000,07/2012,75
"€ 2,985.-",Daihatsu Terios,1.5 AHK,170000,08/2006,105
"€ 2,990.-",Volkswagen Golf,IV Variant Highline,59817,11/1999,116
"€ 2,990.-",Volkswagen Golf,"III ""Joker"" 1,8 Automatik 1.Hand Wenig KM",105300,04/1997,75
"€ 2,990.-",Volvo V50,2.4i Kombi Summum/NAVI/XENON/SHZ/LEDER/AHK,159310,04/2005,170
"€ 2,990.-",Ford Focus,1.6 CDTI Style+ SITZHEIZUNG+TÜV 06 2023,218450,05/2011,90
"€ 2,990.-",Fiat,Ducato 1.9 280L Verkaufswagen,376024,12/1989,82
"€ 2,990.-",Citroen Nemo,"1.3 HDi 75cv, utilitaire, très propre",135000,04/2013,75
"€ 2,990.-",Ford Focus,Klima/ALU/Bastlerfahrzeug/Export,99999,09/2006,125
"€ 2,990.-",Suzuki Jimny,"1.3i 16v JLX Airco 4x4/AWD, jantes alu...",207000,02/2000,80
"€ 2,990.-",BMW 318,Baureihe 3 Touring 318d *Isofix*PDC*BC*ALU´s*,334000,07/2008,143
"€ 2,990.-",Opel Meriva,Enjoy+AC+AHK+Alu15Z+Nebel+,149571,04/2004,101
"€ 2,990.-",Volkswagen Caddy,"1.9 TDi CLIM, ATT REMORQUE",231971,06/2007,75
"€ 2,990.-",Toyota Corolla Verso,Verso,157127,06/2003,135
"€ 2,990.-",Mercedes-Benz S 320,Automatik,287227,03/1999,224
"€ 2,990.-",Mercedes-Benz E 320,Automatik ELEGANCE+LEDER+TEMPOMAT,256000,10/1995,220
"€ 2,998.-",Mercedes-Benz S 320,L Leder Xenon Navi e-Sitze Holzausst. Klimaautom S,219400,06/2003,224
"€ 2,999.-",Renault Kangoo,TOM TOM DCI 5 pl *REBUY**,262123,03/2010,68
"€ 2,999.-",Audi A4,AVANT**Rebuy**,270028,06/2004,131
