name,Make,variant,price,mileage,Type,Model,Body,Fuel,Other Fuel Types,CO2 Emission,Emission Label,Emission Class,horse power,Displacement,Cylinders,Warranty,Previous Owners,first registration,First Registration,Consumption,consumption_country,consumption_city,Electricity consumption,Gearing Type,Gears,Nr. of Seats,Nr. of Doors,Paint Type,Body Color Original,Body Color,Upholstery,Inspection new,Next Inspection,Last Service Date,Full Service,Last Timing Belt Service Date,Perm. GVW,Drive chain,Model Code,Weight,Non-smoking Vehicle,Country version,Offer Number,url_address
Kia Picanto,Kia,1.1 Attract Servo Allwetterreifen 63000 Km,"€ 3,499.-",63000,Used,Picanto,Compact,Super 95,,127 g/km (comb),4 (Green),Euro 4,65,"1,086 cc",4,,,08/2010,2010,5.3 l/100 km (comb),4.6 l/100 km (country),6.6 l/100 km (city),,Manual,5,4,5,,SONNENGELB,Yellow,"Cloth, Black",,10/2022,,,,,Front,8253/AAP,929 kg,,Germany,550,https://www.autoscout24.com/offers/kia-picanto-1-1-attract-servo-allwetterreifen-63000-km-gasoline-yellow-24f443d1-26e6-4ead-8ed4-67e4b7f02d35?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz B 180,Mercedes-Benz,"CDI *KLIMA,PDC,ISOFIX,SHZ*","€ 3,499.-",290262,Used,B 180,Van,Diesel (Particulate Filter),,151 g/km (comb),4 (Green),Euro 5,109,"1,991 cc",4,,2,03/2010,2010,5.8 l/100 km (comb),4.7 l/100 km (country),7.6 l/100 km (city),,Manual,6,5,5,Metallic,KOSMOSSCHWARZ,Black,Cloth,,12/2021,12/2019,,,,Front,1313/AFE,"1,435 kg",,Germany,10388952,https://www.autoscout24.com/offers/mercedes-benz-b-180-cdi-klima-pdc-isofix-shz-diesel-black-8715977a-f317-4be6-b9be-43e21681df09?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Astra,Opel,"H Caravan 1,6-16V Turbo 132 KW Xenon Navi","€ 3,500.-",234749,Used,Astra,Station wagon,Super Plus 98,,185 g/km (comb),4 (Green),Euro 4,179,"1,598 cc",4,,,06/2010,2010,7.7 l/100 km (comb),6.2 l/100 km (country),10.3 l/100 km (city),,Manual,6,5,5,Metallic,Argon Silber/Ice Silver (M2),Silver,Cloth,,06/2022,,,,,Front,0035/AHF,"1,395 kg",,Germany,K-210319-039,https://www.autoscout24.com/offers/opel-astra-h-caravan-1-6-16v-turbo-132-kw-xenon-navi-gasoline-silver-bff4e5f9-b675-4286-963a-2d7368e7e82d?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Honda Jazz,Honda,1.4i Benzine Autom. - Airco - 5 Deurs - Topstaat!,"€ 3,500.-",130618,Used,Jazz,Compact,Gasoline,,137 g/km (comb),,Euro 4,83,"1,339 cc",4,,2,04/2006,2006,,,,,Automatic,7,5,5,Metallic,Grijs,Grey,"Cloth, Black",,,,,,,Front,,,,,21-0609,https://www.autoscout24.com/offers/honda-jazz-1-4i-benzine-autom-airco-5-deurs-topstaat-gasoline-grey-e49ba747-5d9d-4a32-91ca-993a035da7ea?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Suzuki Liana,Suzuki,1.6 Comfort Sitzheizung Klima Standheizung,"€ 3,500.-",95000,Used,Liana,Sedans,Gasoline,,169 g/km (comb),4 (Green),Euro 4,106,"1,586 cc",4,,3,09/2005,2005,6.9 l/100 km (comb),5.8 l/100 km (country),8.8 l/100 km (city),,Manual,5,5,4,Metallic,,Blue,"Cloth, Black",Yes,,,,,,Front,7102/398,"1,225 kg",,Germany,23,https://www.autoscout24.com/offers/suzuki-liana-1-6-comfort-sitzheizung-klima-standheizung-gasoline-blue-56f2cebd-06e8-4191-ad02-a6d2d649bc7a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Fiat Punto,Fiat,"1,4B*Italia sportedition!!REBUY**","€ 3,500.-",135442,Used,Punto,Sedans,Gasoline,,132 g/km (comb),,,77,"1,369 cc",,,,04/2012,2012,,,,,Manual,5,6,3,Metallic,,White,"Other, Black",,,,,,,,,,,,,https://www.autoscout24.com/offers/fiat-punto-1-4b-italia-sportedition-rebuy-gasoline-white-2a5606a5-c78d-423e-b237-88e602b9f5b8?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Suzuki Swift,Suzuki,1.6 Sport Sitzheizung;Klimaanlage;Radio/CD,"€ 3,500.-",57998,Used,Swift,Compact,Gasoline,,165 g/km (comb),,Euro 4,125,"1,586 cc",,,2,07/2008,2008,7 l/100 km (comb),6 l/100 km (country),8.7 l/100 km (city),,Manual,,4,2,,Schwarz,Black,"Cloth, Black",,08/2021,,,,,,8306/AAL,,,,,https://www.autoscout24.com/offers/suzuki-swift-1-6-sport-sitzheizung-klimaanlage-radio-cd-gasoline-black-ac0e5d5b-2a1f-4487-957c-ca31e272d118?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Fiat 500,Fiat,project,"€ 3,500.-",55963,Used,500,Sedans,Gasoline,,180 g/km (comb),,,-,500 cc,2,0 months,,05/1967,1967,,,,,Manual,,,2,,,White,"Other, Grey",,,,,,,,,,,,,https://www.autoscout24.com/offers/fiat-500-project-gasoline-white-8e755fe1-e643-4996-94a6-5ff49d346062?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 320,BMW,3er Coupe Xenon Klimaauto. PDC Tüv+Insp. neu,"€ 3,500.-",213000,Used,320,Coupe,Gasoline,,212 g/km (comb),,,150,"1,991 cc",,,2,02/2000,2000,8.9 l/100 km (comb),6.8 l/100 km (country),12.5 l/100 km (city),,Automatic,,5,2,Metallic,,Silver,"Part leather, Black",Yes,12/2022,,,,,,,,,,4089877651,https://www.autoscout24.com/offers/bmw-320-3er-coupe-xenon-klimaauto-pdc-tuev-insp-neu-gasoline-silver-ebcddc8b-e46f-4bba-afa4-a0408b4e997b?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Hyundai Getz,Hyundai,1.1 Basis,"€ 3,590.-",95500,Used,Getz,Sedans,Super 95,,0 g/km (comb),,,63,"1,086 cc",4,,,03/2008,2008,,,,,Manual,5,,5,Metallic,schwarz,Black,Black,Yes,,,,,,,8252/448,,,,147371412,https://www.autoscout24.com/offers/hyundai-getz-1-1-basis-gasoline-black-42bc302c-7ce9-4912-90ae-dfa2f10380a9?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Hyundai Getz,Hyundai,Klima/elektrische FH/ZV/TÜV/ASU Neu,"€ 3,590.-",84990,Used,Getz,Compact,Super 95 / Super Plus 98 / Super E10 95 / Regular/Benzine 91,Super Plus 98,130 g/km (comb),4 (Green),Euro 4,67,"1,086 cc",,12 months,1,02/2008,2008,5.5 l/100 km (comb),4.7 l/100 km (country),6.9 l/100 km (city),,Manual,,5,4,Metallic,blau,Blue,"Cloth, Black",Yes,,,,,,,8252/ABX,,,Germany,3013140 GW__1,https://www.autoscout24.com/offers/hyundai-getz-klima-elektrische-fh-zv-tuev-asu-neu-gasoline-blue-44c00478-d80c-469a-b446-b936dacbdcb1?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Golf,Volkswagen,1600cc Benzine Nette wagen start en rijdt goed,"€ 3,600.-",247805,Used,Golf,Sedans,Gasoline,,149 g/km (comb),,Euro 4,102,"1,595 cc",4,,1,04/2008,2008,6.3 l/100 km (comb),5.2 l/100 km (country),8.2 l/100 km (city),,Manual,6,5,5,Metallic,,Grey,"Cloth, Black",,,,,,,Front,,"1,205 kg",,Belgium,,https://www.autoscout24.com/offers/volkswagen-golf-1600cc-benzine-nette-wagen-start-en-rijdt-goed-gasoline-grey-1c457213-f220-4868-85a6-49faf21b5da6?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Tigra,Opel,"Cabrio 1,4I*AIRCO*VERWARMDE ZETELS*NAVI*REBUY*","€ 3,600.-",124469,Used,Tigra,Convertible,Gasoline,,,,,90,,4,,,02/2005,2005,,,,,Manual,5,2,2,,,Red,"Full leather, Black",,,,,,,,,,,,,https://www.autoscout24.com/offers/opel-tigra-cabrio-1-4i-airco-verwarmde-zetels-navi-rebuy-gasoline-red-dbd67624-f849-49c1-84cb-d85ab174bf89?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Toyota Previa,Toyota,2.4 Automatik 7-Sitze 17 Zoll Kliaauto.,"€ 3,600.-",195000,Used,Previa,Station wagon,Gasoline,,259 g/km (comb),4 (Green),Euro 4,156,"2,362 cc",,,2,11/2005,2005,10.8 l/100 km (comb),8.7 l/100 km (country),14.5 l/100 km (city),,Automatic,,7,4,,,Gold,,,,,,,,,,,,,4130503541,https://www.autoscout24.com/offers/toyota-previa-2-4-automatik-7-sitze-17-zoll-kliaauto-gasoline-gold-35fd37da-df84-4a2b-a08c-3e452c2ce2dc?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 308,Peugeot,95 VTI Filou SHZ~KLIMA~BC~ZV~TFL~ISOFIX~CD,"€ 3,650.-",98100,Used,308,Sedans,Super E10 95,,155 g/km (comb),4 (Green),Euro 4,95,"1,397 cc",4,12 months,2,04/2010,2010,6.5 l/100 km (comb),5.2 l/100 km (country),9 l/100 km (city),,Manual,,5,3,Metallic,SCHWARZ PERLA NERA,Black,"Cloth, Black",,05/2022,,,,,,3003/AJU,"1,337 kg",,,308590,https://www.autoscout24.com/offers/peugeot-308-95-vti-filou-shz-klima-bc-zv-tfl-isofix-cd-gasoline-black-beba16d5-c8da-4e70-9d66-eed604e40f48?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Nissan Note,Nissan,I-Way 1.5 dCI NAVI+AHK+LM+TEMPOMAT+ISOFIX+,"€ 3,670.-",166000,Used,Note,Van,Diesel (Particulate Filter),,136 g/km (comb),4 (Green),Euro 4,103,"1,461 cc",4,,,04/2010,2010,5.1 l/100 km (comb),4.7 l/100 km (country),5.8 l/100 km (city),,Manual,6,5,5,Metallic,schwarz uni,Black,Cloth,Yes,,,,,,Front,0000/000,,,,n8kl3b2069272pf,https://www.autoscout24.com/offers/nissan-note-i-way-1-5-dci-navi-ahk-lm-tempomat-isofix-diesel-black-af6f5b36-9e24-46a3-b7fe-fa0f3f20fd68?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Tigra,Opel,Twin Top Sport 1.4 Klima 16''Alu Garantie,"€ 3,680.-",119660,Used,Tigra,Convertible,Super 95,,146 g/km (comb),,Euro 4,90,"1,364 cc",4,,2,03/2006,2006,6.1 l/100 km (comb),5 l/100 km (country),8.1 l/100 km (city),,Manual,5,2,2,,starsilber iii m2,Silver,Part leather,,01/2023,,,,,Front,0035/037,,,,E006625,https://www.autoscout24.com/offers/opel-tigra-twin-top-sport-1-4-klima-16-alu-garantie-gasoline-silver-0b68120f-1b07-4e32-973e-bd8843856ee9?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Citroen C4,Citroen,VTi 120 VTR Plus+NAVI+BLUETOOTH+TMC+5-GANG+GE,"€ 3,690.-",105000,Used,C4,Sedans,Gasoline,,159 g/km (comb),4 (Green),Euro 4,120,"1,598 cc",,,1,07/2009,2009,6.7 l/100 km (comb),5.2 l/100 km (country),9.3 l/100 km (city),,Manual,,5,4,Metallic,KPS - LACK BLAU ABYSSE,Blue,Cloth,,,,,,,,,,,Germany,217-HP_3593,https://www.autoscout24.com/offers/citroen-c4-vti-120-vtr-plus-navi-bluetooth-tmc-5-gang-ge-gasoline-blue-1ee445e3-d38f-4bcc-b50d-bf145610c1f4?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Twingo,Renault,1.2 YAHOO * KLIMA Klima,"€ 3,698.-",74100,Used,Twingo,Compact,Super 95,,119 g/km (comb),4 (Green),Euro 5,75,"1,149 cc",4,,4,12/2011,2011,5.1 l/100 km (comb),4.2 l/100 km (country),6.7 l/100 km (city),,Manual,5,4,3,Metallic,Perlmutschwarz,Black,"Cloth, Black",Yes,,,,,,,3333/AQU,955 kg,,European Union,46210042,https://www.autoscout24.com/offers/renault-twingo-1-2-yahoo-klima-klima-gasoline-black-727b7ddc-5756-4d00-ac00-bda8efe95b91?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Honda Accord,Honda,"*KLIMA,PDC,LED,MFL,ISOFIX* 2.0 Comfort","€ 3,699.-",174994,Used,Accord,Sedans,Super 95,,190 g/km (comb),4 (Green),Euro 4,155,"1,998 cc",4,,2,06/2004,2004,8 l/100 km (comb),6.5 l/100 km (country),10.9 l/100 km (city),,Manual,5,5,4,Metallic,INDIGO BLUE,Blue,Cloth,Yes,01/2021,05/2019,,,,Front,7100/535,"1,421 kg",,Germany,10347358,https://www.autoscout24.com/offers/honda-accord-klima-pdc-led-mfl-isofix-2-0-comfort-gasoline-blue-a11ca663-f90e-4b56-9e72-08d7d92e10bb?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz A 180,Mercedes-Benz,CDI Avantgarde+SHZ+KLIMA+TEILLEDER,"€ 3,750.-",184500,Used,A 180,Sedans,Diesel,,151 g/km (comb),4 (Green),Euro 5,109,"1,991 cc",4,,2,03/2008,2008,5.8 l/100 km (comb),4.7 l/100 km (country),7.6 l/100 km (city),,Manual,6,5,5,,KOSMOSSCHWARZ - METALLICLACK,Black,"Part leather, Black",,,,,,,Front,0999/ALQ,"1,345 kg",,,2694,https://www.autoscout24.com/offers/mercedes-benz-a-180-cdi-avantgarde-shz-klima-teilleder-diesel-black-87410485-eb7c-46e4-9feb-9bbf5d533247?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Touran,Volkswagen,"1,9 TDI 1.HD Goal Klima*Glasdach*PDC*6Gan","€ 3,750.-",214500,Used,Touran,Van,Diesel,,165 g/km (comb),4 (Green),Euro 4,105,"1,896 cc",,,1,07/2006,2006,6.2 l/100 km (comb),5.4 l/100 km (country),7.6 l/100 km (city),,Manual,,5,4,Metallic,Deep Black Perleffekt,Black,"Cloth, Brown",Yes,,,,,,,,,,Germany,,https://www.autoscout24.com/offers/volkswagen-touran-1-9-tdi-1-hd-goal-klima-glasdach-pdc-6gan-diesel-black-63a713cf-b914-4bec-84a4-e05084f07a78?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 318,BMW,Navi/Sitzheizung/Beschreibung lesen!!!,"€ 3,790.-",185000,Used,318,Sedans,Super 95 / Super Plus 98 / Regular/Benzine 91,Super Plus 98,154 g/km (comb),4 (Green),Euro 4,143,"1,995 cc",4,12 months,3,12/2004,2004,6.6 l/100 km (comb),5.6 l/100 km (country),8.4 l/100 km (city),,Manual,5,5,3,Metallic,MYSTICBLAU METALLIC,Blue,"Cloth, Black",,12/2020,,,,,Rear,0005/721,,,Germany,2018184 GW__1,https://www.autoscout24.com/offers/bmw-318-navi-sitzheizung-beschreibung-lesen-gasoline-blue-b4a4f410-7b74-43f6-85e7-920cbafa7f6f?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz B 170,Mercedes-Benz,Sport-Paket+AHK+SHZ+8fach+Thermotron+RCD,"€ 3,799.-",162000,Used,B 170,Van,Regular/Benzine 91,,171 g/km (comb),4 (Green),Euro 4,116,"1,699 cc",,,2,07/2006,2006,7.1 l/100 km (comb),6 l/100 km (country),9 l/100 km (city),,Manual,,5,5,Metallic,Horizontblau metallic,Blue,"Part leather, Grey",,11/2021,,,,,,0999/AMD,"1,330 kg",,,S34466,https://www.autoscout24.com/offers/mercedes-benz-b-170-sport-paket-ahk-shz-8fach-thermotron-rcd-gasoline-blue-2db85e15-a5bd-4c4c-acfb-35dc3158f44f?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Megane,Renault,1.6 Dynamique +HANDEL/EXPORT+,"€ 3,800.-",142717,Used,Megane,Sedans,Regular/Benzine 91,,0 g/km (comb),4 (Green),Euro 4,110,"1,598 cc",4,,2,04/2009,2009,,,,,Manual,,5,5,Metallic,,Black,"Cloth, Grey",,06/2022,,,,,,3333/ASJ,,,,E_508112,https://www.autoscout24.com/offers/renault-megane-1-6-dynamique-handel-export-gasoline-black-db1eb7bd-a4bc-4643-976c-37fb548f8a86?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Scenic,Renault,Dynamique dCi110 +HANDEL/EXPORT+,"€ 3,800.-",204944,Used,Scenic,Van,Diesel (Particulate Filter),,0 g/km (comb),4 (Green),Euro 5,106,"1,461 cc",4,,1,04/2011,2011,,,,,Manual,,5,5,Metallic,,Black,"Cloth, Grey",,05/2022,,,,,,3333/ATI,,,,E_508111,https://www.autoscout24.com/offers/renault-scenic-dynamique-dci110-handel-export-diesel-black-80973179-9228-4522-8f6d-131dc4874926?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Skoda Octavia,Skoda,"2,0 TDI Combi RS Xenon Leder SHZG","€ 3,800.-",184000,Used,Octavia,Station wagon,Diesel,,159 g/km (comb),4 (Green),Euro 4,170,"1,968 cc",,,2,06/2008,2008,6 l/100 km (comb),4.9 l/100 km (country),7.9 l/100 km (city),,Automatic,,5,4,Metallic,Schwarz Magic Perleffekt,Black,"Part leather, Black",,,,,,,,,,,Germany,,https://www.autoscout24.com/offers/skoda-octavia-2-0-tdi-combi-rs-xenon-leder-shzg-diesel-black-f4c8b2f3-79c4-47ec-999e-82a6eaf4d86f?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Megane,Renault,II Cabrio Limited LEDER PDC KLIMA,"€ 3,800.-",159425,Used,Megane,Convertible,Diesel,,154 g/km (comb),4 (Green),Euro 4,131,"1,870 cc",,,,03/2009,2009,5.8 l/100 km (comb),5 l/100 km (country),7.4 l/100 km (city),,Manual,,4,2,Metallic,,,"Full leather, Other",,03/2022,,,,,,,,,Germany,EM207209,https://www.autoscout24.com/offers/renault-megane-ii-cabrio-limited-leder-pdc-klima-diesel-f5bc9f17-0fca-4457-ad5a-500fe198f53c?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Audi A3,Audi,2.0 TDI (DPF) DSG S line Sportpaket plus,"€ 3,850.-",320000,Used,A3,Sedans,Diesel,,151 g/km (comb),4 (Green),Euro 4,140,"1,968 cc",,,2,12/2006,2006,5.8 l/100 km (comb),4.5 l/100 km (country),7.5 l/100 km (city),,Manual,,5,2,Metallic,,Black,"Full leather, Black",,,,,,,,0588/ADU,,,,,https://www.autoscout24.com/offers/audi-a3-2-0-tdi-dpf-dsg-s-line-sportpaket-plus-diesel-black-ebd181f1-6611-4949-96a6-615d4a294912?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz A 140,Mercedes-Benz,,"€ 3,850.-",146000,Used,A 140,Sedans,Regular/Benzine 91,,,4 (Green),Euro 4,82,"1,397 cc",4,12 months,1,10/2002,2002,0 l/100 km (comb),,,,Manual,,5,4,Metallic,,Black,Cloth,Yes,07/2023,,,,,Front,0710/362,,,,823386,https://www.autoscout24.com/offers/mercedes-benz-a-140-gasoline-black-1c75bed1-ac00-45b7-b7ae-e876d092d3d1?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 520,BMW,520d Touring Aut. Panaromadach / Leder,"€ 3,880.-",350000,Used,520,Station wagon,Diesel (Particulate Filter),,149 g/km (comb),,Euro 4,177,"1,995 cc",4,,,12/2006,2006,5.6 l/100 km (comb),4.7 l/100 km (country),7.1 l/100 km (city),,Automatic,6,5,4,,,Silver,Full leather,,09/2022,,,,,,0005/AJC,"1,585 kg",,,102,https://www.autoscout24.com/offers/bmw-520-520d-touring-aut-panaromadach-leder-diesel-silver-708ea083-74a1-4663-b029-faf8024b3a66?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Meriva,Opel,Cosmo Klimaautomatik/Elektr.FH/CD-Player,"€ 3,890.-",74200,Used,Meriva,Sedans,Diesel,,146 g/km (comb),,,101,"1,686 cc",,,,11/2003,2003,5.5 l/100 km (comb),4.5 l/100 km (country),6.7 l/100 km (city),,Automatic,,5,4,Metallic,Mintsilber M2,Silver,"Cloth, Grey",Yes,,,,,,,,,,Germany,,https://www.autoscout24.com/offers/opel-meriva-cosmo-klimaautomatik-elektr-fh-cd-player-diesel-silver-f96b4f9c-1f3e-490a-bb32-846401003611?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Suzuki Swift,Suzuki,"1.3i GLX AUTOMATIQUE CLIM, VE #PRET A IMMATRICULER","€ 3,890.-",125399,Used,Swift,Sedans,Gasoline,,148 g/km (comb),,Euro 4,92,"1,328 cc",4,,1,06/2005,2005,5.8 l/100 km (comb),5 l/100 km (country),7.2 l/100 km (city),,Automatic,5,4,3,Metallic,,Grey,"Cloth, Grey",,,,,,,Front,,980 kg,,Belgium,,https://www.autoscout24.com/offers/suzuki-swift-1-3i-glx-automatique-clim-ve-pret-a-immatriculer-gasoline-grey-814567ec-4b9a-4e87-a653-e43dffb615c4?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Skoda Fabia,Skoda,"1.2i Classic CLIM, VE, RADIO CD, MP3 AVEC D. IMM.","€ 3,890.-",114957,Used,Fabia,Sedans,Gasoline,,140 g/km (comb),,Euro 4,60,"1,198 cc",3,,1,01/2010,2010,5.9 l/100 km (comb),4.8 l/100 km (country),7.8 l/100 km (city),,Manual,5,5,5,,,Blue,"Cloth, Grey",,,,,,,Front,,"1,040 kg",,,,https://www.autoscout24.com/offers/skoda-fabia-1-2i-classic-clim-ve-radio-cd-mp3-avec-d-imm-gasoline-blue-7cbbef45-b335-47d5-ace1-11cafa264b63?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Lancia Kappa,Lancia,838 2.4 AHK+Kam+Navi+Freispr+StHzg+Klima,"€ 3,899.-",149000,Used,Kappa,Sedans,Regular/Benzine 91,,0 g/km (comb),4 (Green),Euro 2,175,"2,446 cc",,,4,05/1996,1996,0 l/100 km (comb),0 l/100 km (country),0 l/100 km (city),,Manual,,5,4,Metallic,Gold goldgelb,Yellow,"Cloth, Other",,05/2023,,,,,,4001/053,,,,S34405,https://www.autoscout24.com/offers/lancia-kappa-838-2-4-ahk-kam-navi-freispr-sthzg-klima-gasoline-yellow-7ff40a4a-84ed-4d6a-a80d-eddfc0802808?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Nissan Pixo,Nissan,,"€ 3,899.-",124138,Used,Pixo,Compact,Gasoline,,122 g/km (comb),,Euro 5,68,,3,,1,11/2010,2010,5.2 l/100 km (comb),4.5 l/100 km (country),6.7 l/100 km (city),,Automatic,4,5,5,,,White,"Cloth, Black",,,,,04/2020,,Front,,,,Belgium,,https://www.autoscout24.com/offers/nissan-pixo-gasoline-white-844374ea-afa7-4ded-b63b-e239d6cff32f?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Hyundai i10,Hyundai,1.1 Classic Edition Plus ALLWETTERREIFEN*CD*,"€ 3,900.-",48525,Used,i10,Compact,Super 95,,119 g/km (comb),,Euro 4,67,"1,086 cc",,,1,12/2009,2009,5 l/100 km (comb),4.4 l/100 km (country),6.1 l/100 km (city),,Manual,5,5,5,,virtual yellow,Yellow,Cloth,,,,,,,,8357/AAE,,,Germany,D6011,https://www.autoscout24.com/offers/hyundai-i10-1-1-classic-edition-plus-allwetterreifen-cd-gasoline-yellow-d17649fc-5336-4a4d-8b97-a7a765de2cb8?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz CLK 230,Mercedes-Benz,Cabrio Kompressor Avantgarde guter Zustand,"€ 3,900.-",180000,Used,CLK 230,Convertible,Gasoline,,230 g/km (comb),4 (Green),Euro 4,197,"2,295 cc",4,,2,12/2001,2001,9.6 l/100 km (comb),7.2 l/100 km (country),13.8 l/100 km (city),,Manual,6,4,2,Metallic,,Silver,"Full leather, Black",Yes,01/2023,12/2020,,,,,0710/489,"1,645 kg",,,,https://www.autoscout24.com/offers/mercedes-benz-clk-230-cabrio-kompressor-avantgarde-guter-zustand-gasoline-silver-ff626db5-67f7-b91d-e053-0100007fda3b?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz E 280,Mercedes-Benz,T CDI Automatik Leder Navi Xenon PDC,"€ 3,950.-",298000,Used,E 280,Station wagon,Diesel (Particulate Filter),,215 g/km (comb),,Euro 4,190,"2,987 cc",6,,1,09/2008,2008,8.1 l/100 km (comb),6.4 l/100 km (country),11 l/100 km (city),,Automatic,7,5,5,Metallic,iridiumsilber,Silver,Full leather,,07/2021,,,,,Rear,,,,Germany,4138,https://www.autoscout24.com/offers/mercedes-benz-e-280-t-cdi-automatik-leder-navi-xenon-pdc-diesel-silver-8d7f68c0-499f-4ac1-8da1-3ae888f52cf8?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz E 280,Mercedes-Benz,T Avantgarde 4Matic*Bose*Sitzlüftung*TOP*,"€ 3,950.-",339013,Used,E 280,Station wagon,Regular/Benzine 91,,273 g/km (comb),4 (Green),Euro 4,204,"2,799 cc",,,,05/2002,2002,11.5 l/100 km (comb),8.8 l/100 km (country),17.2 l/100 km (city),,Automatic,,5,4,Metallic,brillantsilber metallic,Silver,"Full leather, Black",,,,,,,4WD,,,,Germany,,https://www.autoscout24.com/offers/mercedes-benz-e-280-t-avantgarde-4matic-bose-sitzlueftung-top-gasoline-silver-d54a5bfa-5213-4489-9f65-68fa2dca0c30?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Audi A6,Audi,Avant 2.7 TDI Navi Klima Tempomat StandHZG,"€ 3,950.-",313000,Used,A6,Station wagon,Diesel,,192 g/km (comb),,Euro 4,179,"2,698 cc",6,,1,05/2005,2005,7.2 l/100 km (comb),5.6 l/100 km (country),10 l/100 km (city),,Manual,6,5,5,Metallic,atlasgrau,Grey,Cloth,,09/2022,,,,,Front,,,,Germany,4897,https://www.autoscout24.com/offers/audi-a6-avant-2-7-tdi-navi-klima-tempomat-standhzg-diesel-grey-247551f3-8bd0-4b14-9d48-812cb8005751?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 308,Peugeot,1.6 eHDi Active Klima PDC Sitzheizung Tempomat,"€ 3,950.-",215000,Used,308,Sedans,Diesel (Particulate Filter),,111 g/km (comb),,Euro 5,111,"1,560 cc",4,,1,08/2011,2011,4.2 l/100 km (comb),,,,Manual,6,5,5,Metallic,schwarz,Black,Cloth,,06/2022,,,,,Front,,,,Germany,5499,https://www.autoscout24.com/offers/peugeot-308-1-6-ehdi-active-klima-pdc-sitzheizung-tempomat-diesel-black-7149a6e0-82c4-45e7-b1d5-67a7255461f9?cldtidx=1&cldtsrc=listPage&searchId=1964176808
smart forTwo,smart,fortwo 1.0 coupe Pulse*BT*SHZ*Panorama*,"€ 3,950.-",115000,Used,forTwo,Coupe,Regular/Benzine 91,,125 g/km (comb),4 (Green),Euro 4,84,999 cc,,,,09/2007,2007,5.4 l/100 km (comb),4.6 l/100 km (country),6.8 l/100 km (city),,Automatic,,2,2,,Tridition in Schwarz,Black,"Cloth, Black",,06/2021,,,,,,,,,Germany,,https://www.autoscout24.com/offers/smart-fortwo-fortwo-1-0-coupe-pulse-bt-shz-panorama-gasoline-black-d01fca8b-4578-46a2-9f30-2557ac5de09f?cldtidx=1&cldtsrc=listPage&searchId=1964176808
SEAT Mii,SEAT,Reference 1.0 RDC ESP Seitenairb. met. TRC Airb AB,"€ 3,960.-",93000,Used,Mii,Sedans,Super 95,,107 g/km (comb),4 (Green),Euro 6,60,999 cc,3,,1,02/2016,2016,4.5 l/100 km (comb),3.9 l/100 km (country),5.6 l/100 km (city),,Manual,5,4,3,Metallic,blue blueberry,Blue,"Cloth, Red",,,,,,,Front,7593/AGN,,,Germany,49,https://www.autoscout24.com/offers/seat-mii-reference-1-0-rdc-esp-seitenairb-met-trc-airb-ab-gasoline-blue-477acc7d-274e-4bcf-91ce-3c751355f3c4?cldtidx=1&cldtsrc=listPage&searchId=1964176808
