name,Make,variant,price,mileage,Type,Model,Body,Fuel,Other Fuel Types,CO2 Emission,Emission Label,Emission Class,horse power,Displacement,Cylinders,Warranty,Previous Owners,first registration,First Registration,Consumption,consumption_country,consumption_city,Electricity consumption,Gearing Type,Gears,Nr. of Seats,Nr. of Doors,Paint Type,Body Color Original,Body Color,Upholstery,Inspection new,Next Inspection,Last Service Date,Full Service,Last Timing Belt Service Date,Perm. GVW,Drive chain,Model Code,Weight,Non-smoking Vehicle,Country version,Offer Number,url_address
Opel Corsa,Opel,"C *TÜV-09/2021,RADIO,8-FACH-BEREIFT* Basis",€ 599.-,120000,Used,Corsa,Sedans,Diesel (Particulate Filter),,127 g/km (comb),4 (Green),Euro 4,69,"1,248 cc",4,,3,02/2004,2004,4.7 l/100 km (comb),4 l/100 km (country),5.9 l/100 km (city),,Manual,5,5,3,,WEISS,White,Cloth,,09/2021,,,,,Front,0035/520,980 kg,,Germany,10405993,https://www.autoscout24.com/offers/opel-corsa-c-tuev-09-2021-radio-8-fach-bereift-basis-diesel-white-503383b1-3859-4eee-a078-daef9da601ab?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Corsa,Opel,"C *KLIMA,KAMERA,CD,MFL,USB,AUX* Basis",€ 599.-,129889,Used,Corsa,Sedans,Super 95,,135 g/km (comb),4 (Green),Euro 4,58,973 cc,3,,,02/2002,2002,5.6 l/100 km (comb),4.7 l/100 km (country),7.2 l/100 km (city),,Manual,5,5,3,,SCHWARZ,Black,Cloth,,11/2021,,,,,Front,0035/394,980 kg,,Germany,10403922,https://www.autoscout24.com/offers/opel-corsa-c-klima-kamera-cd-mfl-usb-aux-basis-gasoline-black-82c2ace9-36e1-48ac-a7b1-b6b38bd01db7?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Passat,Volkswagen,1.9TDI Festpreis,€ 599.-,324000,Used,Passat,Station wagon,Diesel,,159 g/km (comb),,Euro 3,131,"1,896 cc",4,,,12/2002,2002,5.9 l/100 km (comb),4.9 l/100 km (country),7.6 l/100 km (city),,Automatic,6,5,5,Metallic,,Silver,Cloth,,,,,,,Front,0603/614,"1,571 kg",,,Kom.Zob,https://www.autoscout24.com/offers/volkswagen-passat-1-9tdi-festpreis-diesel-silver-e836a17f-2b97-4032-bb09-85b546dc4de5?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Twingo,Renault,1.2 Privilege Faltschiebedach,€ 599.-,180000,Used,Twingo,Compact,Gasoline,,140 g/km (comb),,Euro 3,75,"1,149 cc",4,,1,11/2001,2001,5.9 l/100 km (comb),4.9 l/100 km (country),7.6 l/100 km (city),,Manual,5,4,3,,blau vibrato,Blue,Cloth,,12/2020,,,,,Front,,,,Germany,3749,https://www.autoscout24.com/offers/renault-twingo-1-2-privilege-faltschiebedach-gasoline-blue-a40b99f9-5dda-4c72-95c6-70972da84927?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Polo,Volkswagen,SD Servo ABS TÜV 04/2022,€ 650.-,104000,Used,Polo,Compact,Gasoline,,,4 (Green),Euro 3,60,"1,390 cc",,,,04/1999,1999,,,,,Manual,,5,2,,,,"Cloth, Black",,04/2022,,,,,,0600/300,,,,,https://www.autoscout24.com/offers/volkswagen-polo-sd-servo-abs-tuev-04-2022-gasoline-d25b3e61-7d50-4d0f-86ec-6fbdfd7098ff?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mazda 6,Mazda,Kombi 2.0 CD Sport Comfort *Klimaanlage Alu*,€ 749.-,398561,Used,6,Station wagon,Diesel (Particulate Filter),,167 g/km (comb),4 (Green),Euro 4,121,"1,998 cc",4,,,02/2007,2007,6.1 l/100 km (comb),5.2 l/100 km (country),7.6 l/100 km (city),,Manual,6,5,5,Metallic,Schwarz Metallic,Black,"Cloth, Black",,05/2022,,,,,,7118/AAM,"1,595 kg",,Germany,71456396,https://www.autoscout24.com/offers/mazda-6-kombi-2-0-cd-sport-comfort-klimaanlage-alu-diesel-black-95d0db7c-4842-46a2-95f6-a292976ff08a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Saab 900,Saab,2.0i Cabrio S Leder Klima SHZ Tempomat,€ 750.-,220000,Used,900,Convertible,Gasoline,,,4 (Green),Euro 2,131,"1,985 cc",,,,03/1995,1995,9.9 l/100 km (comb),7.4 l/100 km (country),14.2 l/100 km (city),,Manual,,5,2,Metallic,,Gold,"Full leather, Black",,,,,,,,,,,,4069501061,https://www.autoscout24.com/offers/saab-900-2-0i-cabrio-s-leder-klima-shz-tempomat-gasoline-gold-5f14650e-185a-404d-ad9e-3a1d720ea78d?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Astra,Opel,1.6 Fresh Klima kein Tüv,€ 750.-,150000,Used,Astra,Sedans,Gasoline,,180 g/km (comb),,,101,"1,598 cc",4,,1,11/2002,2002,7.5 l/100 km (comb),6 l/100 km (country),10.1 l/100 km (city),,Manual,5,5,3,,starsilber,Silver,Cloth,,03/2021,,,,,Front,,,,Germany,7918,https://www.autoscout24.com/offers/opel-astra-1-6-fresh-klima-kein-tuev-gasoline-silver-c1632ee4-6747-4402-a671-e2753507d3ed?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Twingo,Renault,1.2 Privilege Faltschiebedach,€ 750.-,180000,Used,Twingo,Compact,Gasoline,,140 g/km (comb),4 (Green),Euro 3,75,"1,149 cc",4,,,11/2001,2001,5.9 l/100 km (comb),4.9 l/100 km (country),7.6 l/100 km (city),,Manual,5,4,3,,blau vibrato,Blue,"Cloth, Black",,12/2020,,,,,Front,,,,Germany,3749,https://www.autoscout24.com/offers/renault-twingo-1-2-privilege-faltschiebedach-gasoline-blue-a598858d-cb56-4635-bd26-ca01b1db8b4e?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mazda 6,Mazda,DPF Top Sport Kombi Xenon,€ 799.-,238000,Used,6,Station wagon,Diesel,,167 g/km (comb),,Euro 4,143,"1,998 cc",,,2,09/2006,2006,6.1 l/100 km (comb),5.2 l/100 km (country),7.6 l/100 km (city),,Manual,,5,4,Metallic,,Silver,"Cloth, Black",,,,,,,,,,,,,https://www.autoscout24.com/offers/mazda-6-dpf-top-sport-kombi-xenon-diesel-silver-08d01175-7cbc-485e-9d38-5a3cb0bd2ba5?cldtidx=1&cldtsrc=listPage&searchId=1964176808
